zip, count=1
 unavoidably, count=1
 unavoidable, count=3
 unapproachable, count=2
 ultimately, count=1
 ultimate, count=1
 ugh, count=2
 u, count=3
 typographical, count=1
 types, count=1
 type, count=5
 txt, count=1
 twould, count=1
 two, count=68
 twinkle, count=1
 twill, count=2
 twilight, count=3
 twigs, count=1
 twig, count=2
 twice, count=1
 twenty, count=1
 twentieth, count=1
 twelve, count=1
 twaddle, count=1
 tutor, count=35
 turns, count=1
 turning, count=2
 turners, count=8
 turner, count=73
 turned, count=16
 turn, count=13
 turf, count=1
 turbid, count=1
 tuning, count=2
 tuned, count=3
 tune, count=1
 tumbled, count=2
 tumble, count=1
 trying, count=11
 try, count=21
 truth, count=5
 trustworthiness, count=1
 trust, count=9
 trunks, count=2
 trunkful, count=1
 true, count=9
 trucks, count=2
 truck, count=1
 trout, count=1
 troupes, count=1
 trouped, count=1
 troublesome, count=2
 troubles, count=1
 troubled, count=1
 trouble, count=12
 triumphantly, count=1
 triumph, count=2
 trips, count=1
 triple, count=1
 trimmings, count=1
 trim, count=1
 trifle, count=3
 tried, count=17
 trick, count=3
 trials, count=2
 trial, count=2
 tremendously, count=4
 tremendous, count=3
 tremble, count=1
 trees, count=9
 tree, count=2
 treatment, count=1
 treated, count=2
 treat, count=1
 treasures, count=5
 treasure, count=1
 traverse, count=1
 traveled, count=1
 travel, count=1
 traps, count=2
 trapped, count=1
 trap, count=1
 transmitters, count=9
 transmitter, count=11
 transmit, count=2
 transformed, count=2
 transformation, count=3
 transform, count=1
 transferred, count=1
 transfer, count=2
 transcription, count=1
 transcriber, count=1
 transcribe, count=1
 tranquil, count=1
 tramp, count=1
 training, count=6
 trained, count=4
 train, count=2
 trail, count=2
 tragedy, count=6
 trademark, count=11
 trade, count=2
 traced, count=2
 trace, count=1
 toyer, count=1
 toy, count=1
 townspeople, count=2
 townsfolk, count=3
 towns, count=1
 town, count=19
 towering, count=1
 toward, count=20
 tours, count=1
 touring, count=1
 toughened, count=1
 tough, count=1
 touchstone, count=1
 touching, count=1
 touched, count=1
 touch, count=8
 tossed, count=1
 toss, count=2
 torrent, count=4
 tormenting, count=1
 torment, count=1
 topped, count=2
 topic, count=2
 top, count=6
 tools, count=5
 toolhouse, count=1
 took, count=18
 too, count=96
 tongue, count=3
 tones, count=3
 toned, count=1
 tone, count=8
 tom, count=6
 told, count=37
 toiling, count=3
 toiled, count=5
 toil, count=6
 together, count=28
 to, count=1540
 tm, count=57
 title, count=1
 tireless, count=1
 tired, count=10
 tiptoed, count=1
 tipped, count=1
 tip, count=1
 tiny, count=9
 tint, count=1
 tinkering, count=1
 tinkered, count=1
 tin, count=2
 timidly, count=3
 timid, count=3
 times, count=15
 timely, count=1
 timed, count=2
 time, count=103
 timber, count=1
 tim, count=2
 tilt, count=1
 tiled, count=1
 tightly, count=1
 tight, count=4
 tier, count=1
 tied, count=2
 tie, count=3
 tidy, count=1
 tidings, count=5
 tided, count=1
 tide, count=1
 thus, count=15
 thumper, count=2
 thud, count=1
 thrusting, count=2
 thrust, count=1
 thrown, count=2
 throw, count=6
 throughout, count=3
 through, count=45
 throat, count=1
 thrived, count=1
 thrive, count=1
 thrilling, count=3
 thrilled, count=2
 thrill, count=1
 thrifty, count=1
 threw, count=4
 threshold, count=4
 threshed, count=1
 three, count=14
 threatening, count=2
 threadbare, count=1
 thread, count=1
 thrashing, count=1
 thousand, count=2
 thoughts, count=2
 thoughtfully, count=9
 thoughtful, count=2
 thought, count=44
 though, count=12
 those, count=53
 thoroughly, count=4
 thorough, count=2
 thompson, count=1
 thomas, count=7
 this, count=251
 thirty, count=3
 thirsty, count=1
 thinning, count=1
 thinks, count=2
 thinking, count=11
 think, count=48
 things, count=47
 thing, count=57
 thin, count=3
 thieves, count=1
 thief, count=1
 thickly, count=1
 thick, count=3
 they, count=268
 these, count=53
 therefore, count=26
 thereby, count=2
 there, count=237
 theory, count=2
 theoretically, count=1
 theodore, count=1
 then, count=94
 themselves, count=10
 them, count=141
 theirs, count=2
 their, count=104
 theater, count=1
 the, count=2985
 thaws, count=1
 thawed, count=1
 thaw, count=2
 that, count=632
 thanks, count=5
 thankless, count=1
 thankful, count=4
 thank, count=8
 than, count=96
 textbooks, count=2
 tests, count=2
 testing, count=1
 testimony, count=1
 test, count=2
 terse, count=1
 terror, count=2
 terrified, count=1
 terribly, count=1
 terrible, count=8
 terms, count=27
 termination, count=1
 term, count=1
 tenths, count=1
 tenth, count=1
 tensely, count=1
 tense, count=2
 tennis, count=1
 tenements, count=1
 tenement, count=2
 tenderness, count=1
 tenants, count=1
 ten, count=6
 tempted, count=1
 temporary, count=3
 tempered, count=1
 temper, count=1
 temerity, count=1
 tells, count=3
 telling, count=1
 tell, count=35
 telephoning, count=1
 telephones, count=24
 telephoned, count=1
 telephone, count=104
 telegraphs, count=2
 telegraphically, count=1
 telegraph, count=21
 telegrams, count=2
 teeth, count=1
 teemed, count=1
 tedious, count=4
 ted, count=298
 technology, count=1
 technical, count=1
 teatime, count=1
 teas, count=1
 tearing, count=1
 tear, count=1
 teamster, count=1
 team, count=2
 teahouse, count=1
 teaching, count=3
 teacher, count=2
 teach, count=1
 tea, count=1
 taxes, count=1
 tax, count=6
 taught, count=1
 tastes, count=1
 taste, count=1
 task, count=9
 tarred, count=1
 tar, count=1
 tapping, count=1
 tape, count=1
 tap, count=1
 tantalizing, count=1
 tangles, count=1
 tangle, count=2
 tangible, count=1
 tang, count=1
 tall, count=1
 talking, count=7
 talked, count=4
 talk, count=21
 talents, count=1
 tale, count=4
 taking, count=5
 takes, count=1
 taken, count=11
 take, count=52
 tain, count=1
 tag, count=1
 tactful, count=1
 tacks, count=1
 tackles, count=1
 tacked, count=1
 tack, count=1
 tablet, count=1
 table, count=9
 t, count=302
 system, count=1
 synonymous, count=1
 sympathy, count=5
 sympathies, count=2
 sympathetically, count=1
 sympathetic, count=1
 symbolic, count=1
 sword, count=1
 switches, count=2
 switchboard, count=2
 switch, count=1
 swirling, count=1
 swirl, count=1
 swings, count=1
 swinging, count=1
 swing, count=2
 swimming, count=2
 swimmer, count=2
 swim, count=1
 swift, count=3
 swept, count=6
 sweetness, count=2
 sweet, count=2
 sweeping, count=5
 sweep, count=3
 swear, count=1
 swath, count=1
 swamped, count=1
 swamp, count=2
 sustaining, count=2
 suspicion, count=1
 suspecting, count=2
 suspect, count=1
 survive, count=1
 surprising, count=3
 surprises, count=2
 surprised, count=5
 surprise, count=11
 surly, count=1
 surging, count=2
 surgeon, count=2
 surged, count=1
 surface, count=4
 surely, count=2
 sure, count=45
 suppressed, count=1
 suppress, count=1
 suppositions, count=1
 supposed, count=1
 suppose, count=36
 support, count=5
 supply, count=3
 supplies, count=1
 supplied, count=1
 supplanted, count=1
 supper, count=5
 superiority, count=1
 superior, count=1
 superintendent, count=3
 sunshine, count=8
 sunlight, count=1
 sundown, count=1
 sunday, count=2
 sun, count=6
 sums, count=2
 summons, count=1
 summoning, count=1
 summoned, count=4
 summon, count=3
 summers, count=1
 summer, count=15
 summarily, count=1
 sum, count=1
 sullivan, count=13
 suite, count=1
 suitable, count=1
 suggestions, count=1
 suggestion, count=2
 suggested, count=7
 sugaring, count=1
 sugar, count=1
 suffusing, count=1
 sufficiently, count=1
 sufficient, count=2
 suffering, count=3
 suffered, count=1
 suffer, count=1
 suds, count=1
 suddenly, count=11
 sudden, count=2
 such, count=82
 successfully, count=2
 successful, count=4
 success, count=15
 succeeded, count=2
 succeed, count=4
 subtly, count=1
 substitute, count=1
 substantial, count=2
 subsided, count=2
 subsequently, count=1
 subscribe, count=1
 submerged, count=2
 subject, count=3
 stupid, count=4
 stunts, count=1
 stunt, count=1
 stumps, count=1
 stumbling, count=3
 stumbled, count=2
 stuffy, count=4
 stuffed, count=1
 stuff, count=9
 studying, count=6
 study, count=5
 studies, count=6
 studied, count=2
 student, count=1
 stuck, count=1
 stubbornly, count=3
 stubborn, count=1
 strung, count=1
 struggling, count=1
 struggles, count=1
 struggled, count=2
 struggle, count=1
 structure, count=3
 struck, count=1
 strongly, count=1
 stronger, count=2
 strong, count=10
 strolling, count=1
 strokes, count=1
 stroke, count=1
 strips, count=3
 stripped, count=1
 strings, count=9
 string, count=2
 strike, count=1
 strife, count=1
 striding, count=1
 strides, count=1
 strict, count=1
 stricken, count=2
 stretched, count=4
 stretch, count=4
 stress, count=1
 strengthened, count=2
 strengthen, count=1
 strength, count=2
 streets, count=3
 street, count=5
 stream, count=19
 streaks, count=1
 streak, count=1
 strapped, count=1
 strangers, count=2
 strangely, count=3
 strange, count=6
 strained, count=1
 straighten, count=1
 straight, count=4
 stowed, count=1
 stouter, count=1
 story, count=9
 stormy, count=1
 storm, count=2
 stories, count=2
 stores, count=3
 stored, count=3
 store, count=2
 stopped, count=7
 stop, count=5
 stooped, count=2
 stood, count=15
 stones, count=1
 stone, count=6
 stole, count=3
 stock, count=4
 stirred, count=1
 stir, count=4
 stinting, count=1
 stimulus, count=1
 stimulated, count=1
 stilted, count=1
 still, count=31
 stifle, count=1
 stiffen, count=1
 stiff, count=2
 stick, count=3
 sthetic, count=1
 stevens, count=27
 steve, count=1
 stern, count=3
 stepping, count=1
 stepped, count=1
 step, count=9
 stenography, count=1
 steer, count=2
 steel, count=6
 stecher, count=2
 steaming, count=1
 steam, count=3
 steal, count=2
 steady, count=1
 steadily, count=4
 stead, count=1
 stays, count=1
 staying, count=3
 stayed, count=1
 stay, count=10
 status, count=4
 station, count=4
 stating, count=2
 states, count=15
 statements, count=1
 statement, count=1
 stately, count=2
 state, count=10
 startling, count=1
 startled, count=3
 starting, count=3
 starter, count=2
 started, count=12
 start, count=16
 starless, count=1
 staring, count=2
 stared, count=2
 star, count=1
 standstill, count=2
 standing, count=9
 standards, count=1
 stand, count=12
 stammered, count=1
 stalked, count=1
 stakes, count=1
 staked, count=1
 stake, count=1
 stairs, count=3
 staircase, count=1
 stained, count=1
 stain, count=1
 staggering, count=1
 stage, count=1
 staff, count=2
 squibs, count=1
 squeal, count=1
 squared, count=1
 square, count=2
 squabbling, count=1
 spying, count=1
 spurred, count=1
 spur, count=1
 sprouted, count=1
 sprite, count=1
 springy, count=1
 springs, count=5
 springing, count=2
 spring, count=25
 spreading, count=1
 spreadin, count=3
 spread, count=7
 spray, count=2
 sprang, count=2
 spotless, count=2
 spot, count=11
 sporty, count=1
 sports, count=1
 sport, count=4
 sponsors, count=1
 sponsored, count=1
 spoken, count=2
 spoke, count=4
 spoils, count=1
 spoiling, count=1
 spoiled, count=1
 split, count=1
 splinters, count=1
 splendid, count=9
 splash, count=1
 spite, count=9
 spirits, count=3
 spirited, count=1
 spirit, count=5
 spinning, count=2
 spin, count=1
 spied, count=2
 spent, count=3
 spend, count=4
 spellings, count=1
 spelled, count=1
 spell, count=2
 speedily, count=3
 speed, count=2
 speech, count=7
 sped, count=6
 speculating, count=1
 speculated, count=5
 speculate, count=1
 spectator, count=2
 spectacular, count=1
 specified, count=4
 specific, count=2
 specialists, count=1
 specialist, count=1
 special, count=4
 speaking, count=4
 speaker, count=6
 speak, count=6
 spartan, count=1
 sparks, count=2
 sparkling, count=2
 sparkled, count=1
 sparkle, count=1
 sparing, count=1
 spare, count=4
 spanned, count=1
 spangled, count=1
 span, count=2
 space, count=2
 southern, count=1
 south, count=2
 source, count=2
 sounds, count=9
 sounders, count=1
 sounder, count=3
 sounded, count=2
 sound, count=20
 souls, count=2
 soul, count=5
 sorts, count=1
 sorting, count=1
 sort, count=16
 sorry, count=12
 sorrow, count=1
 sorely, count=1
 soothingly, count=1
 soot, count=1
 sooner, count=2
 soon, count=35
 sonny, count=3
 son, count=20
 somewhere, count=8
 somewhat, count=1
 sometimes, count=23
 sometime, count=2
 something, count=38
 somerville, count=1
 somehow, count=1
 somebody, count=9
 some, count=111
 solved, count=1
 solve, count=1
 solutions, count=1
 soloists, count=2
 soloist, count=2
 solitary, count=1
 solidly, count=2
 solid, count=4
 solicitation, count=1
 solicit, count=2
 solely, count=1
 soils, count=1
 soil, count=2
 softly, count=3
 soften, count=1
 soft, count=1
 sobered, count=1
 sob, count=1
 so, count=182
 snug, count=1
 snows, count=1
 snow, count=6
 snobby, count=1
 sneered, count=1
 sneak, count=1
 snatch, count=1
 snarled, count=2
 snapping, count=1
 snapped, count=3
 snap, count=1
 snag, count=1
 smoothly, count=2
 smoother, count=1
 smooth, count=2
 smokes, count=1
 smoke, count=3
 smiling, count=4
 smiles, count=1
 smiled, count=16
 smile, count=10
 smaller, count=2
 small, count=14
 slumped, count=1
 slumbers, count=1
 sluices, count=1
 slowly, count=7
 slower, count=2
 slow, count=1
 slothful, count=1
 slopes, count=1
 sloped, count=1
 slope, count=1
 slips, count=1
 slipping, count=1
 slippery, count=1
 slipped, count=4
 slip, count=4
 slightest, count=1
 slight, count=1
 sliding, count=2
 slice, count=1
 slept, count=2
 slender, count=4
 sleeves, count=3
 sleeve, count=1
 sleepy, count=2
 sleeps, count=1
 sleepless, count=2
 sleeping, count=1
 sleepily, count=1
 sleep, count=6
 slay, count=2
 slaved, count=2
 slapped, count=1
 slandered, count=1
 slack, count=1
 sky, count=4
 skip, count=1
 skin, count=1
 skimmed, count=1
 skill, count=1
 sketched, count=2
 skepticism, count=1
 skeptical, count=1
 sizes, count=1
 sized, count=1
 size, count=7
 sixteen, count=1
 six, count=11
 situated, count=2
 sitting, count=4
 site, count=6
 sit, count=9
 sisters, count=9
 sister, count=1
 siree, count=1
 sir, count=38
 sinking, count=1
 singling, count=1
 single, count=3
 singing, count=6
 singers, count=1
 singer, count=1
 sing, count=3
 sincerity, count=2
 since, count=26
 simply, count=13
 simpler, count=1
 simple, count=14
 similarly, count=1
 similar, count=7
 silvered, count=1
 silently, count=2
 silent, count=4
 silence, count=4
 significant, count=1
 significance, count=3
 signed, count=1
 signalling, count=1
 signaling, count=2
 signal, count=3
 sign, count=1
 sight, count=11
 sighed, count=1
 sigh, count=2
 sigal, count=2
 sidetracked, count=1
 sides, count=2
 sidelong, count=1
 side, count=8
 sickly, count=2
 sick, count=3
 shyness, count=1
 shyly, count=3
 shyest, count=1
 shy, count=2
 shut, count=4
 shudder, count=1
 shrugged, count=2
 shrug, count=1
 shrouding, count=1
 shrivelled, count=1
 shrank, count=1
 shows, count=1
 shown, count=2
 showing, count=2
 shower, count=1
 showed, count=2
 showcase, count=2
 show, count=15
 shouting, count=4
 shouted, count=3
 shout, count=5
 shouldn, count=7
 shoulders, count=7
 shouldered, count=1
 shoulder, count=5
 should, count=81
 shot, count=3
 shortly, count=1
 shortening, count=1
 shorten, count=1
 short, count=6
 shores, count=2
 shore, count=10
 shops, count=7
 shopping, count=1
 shop, count=28
 shone, count=3
 shoes, count=4
 shoe, count=2
 shivered, count=1
 shiver, count=1
 shirked, count=1
 shipwrecks, count=1
 shipshape, count=1
 ships, count=1
 shipping, count=5
 ship, count=3
 shiny, count=2
 shining, count=3
 shifts, count=2
 sherlock, count=1
 shelves, count=1
 shelters, count=1
 sheltering, count=1
 sheltered, count=1
 shelter, count=2
 shell, count=1
 shelf, count=6
 sheets, count=1
 sheet, count=1
 sheer, count=2
 sheepishly, count=1
 sheep, count=1
 sheathed, count=1
 she, count=23
 shavings, count=1
 shatter, count=1
 sharply, count=5
 sharp, count=4
 sharing, count=1
 shared, count=1
 share, count=8
 shape, count=1
 shan, count=3
 shame, count=1
 shall, count=48
 shaking, count=1
 shaken, count=2
 shake, count=1
 shaggy, count=1
 shadows, count=1
 shadow, count=6
 shades, count=3
 shack, count=48
 shabby, count=2
 sewing, count=1
 severe, count=2
 several, count=13
 seventy, count=3
 seven, count=7
 settling, count=1
 settlement, count=7
 settled, count=6
 settle, count=1
 setting, count=1
 sets, count=1
 set, count=25
 sesame, count=1
 serving, count=1
 services, count=3
 serviceable, count=1
 service, count=9
 served, count=3
 serve, count=2
 servants, count=5
 seriously, count=1
 serious, count=1
 series, count=5
 september, count=1
 separated, count=2
 sentimental, count=1
 sentence, count=4
 sent, count=5
 sensitively, count=1
 sensitive, count=1
 sensible, count=1
 sensed, count=4
 sense, count=7
 senior, count=6
 sending, count=2
 send, count=8
 sell, count=4
 selfish, count=3
 self, count=4
 seldom, count=3
 seized, count=1
 seething, count=1
 seethed, count=1
 sees, count=2
 seer, count=1
 seeping, count=1
 seeped, count=1
 seen, count=12
 seems, count=12
 seemed, count=25
 seem, count=13
 seekers, count=1
 seeing, count=1
 seeds, count=1
 seedlings, count=1
 see, count=102
 securing, count=2
 securely, count=1
 secured, count=2
 secure, count=4
 sections, count=1
 section, count=8
 secretary, count=2
 secret, count=6
 seconds, count=1
 second, count=17
 seclusion, count=1
 seats, count=1
 seasons, count=1
 season, count=5
 searching, count=2
 searched, count=2
 search, count=3
 sea, count=2
 scum, count=1
 scuffling, count=1
 scrupulously, count=1
 scruples, count=1
 scrubbed, count=1
 scrimp, count=1
 scrimmage, count=1
 screw, count=2
 screens, count=1
 screen, count=1
 screams, count=1
 screaming, count=1
 screamed, count=1
 scream, count=1
 scrawled, count=1
 scratched, count=1
 scraps, count=3
 scrape, count=1
 scrap, count=1
 scrambled, count=2
 scramble, count=2
 scraggy, count=1
 scowl, count=1
 scoundrel, count=1
 scott, count=2
 scornfully, count=2
 scornful, count=1
 scorned, count=1
 scorn, count=2
 scores, count=1
 score, count=3
 scorched, count=1
 scientists, count=1
 scientific, count=2
 sciences, count=1
 science, count=8
 schooling, count=1
 school, count=21
 scholar, count=1
 schemes, count=2
 scheme, count=13
 scepticism, count=1
 scent, count=2
 scenes, count=1
 scene, count=4
 scattered, count=4
 scarred, count=1
 scarlet, count=2
 scaring, count=1
 scared, count=1
 scarcely, count=9
 scarce, count=2
 scanty, count=1
 scant, count=1
 scanned, count=1
 scan, count=1
 says, count=6
 saying, count=3
 say, count=37
 sawdust, count=1
 saw, count=23
 savior, count=1
 saving, count=1
 saved, count=4
 save, count=7
 saunders, count=9
 saturdays, count=1
 saturday, count=6
 satisfied, count=5
 satisfactory, count=3
 satisfactorily, count=2
 satisfaction, count=10
 sat, count=8
 sara, count=5
 sank, count=4
 sang, count=1
 sand, count=2
 sanction, count=1
 same, count=20
 salt, count=2
 salmon, count=1
 salem, count=4
 sale, count=1
 sake, count=3
 sail, count=1
 said, count=58
 safety, count=3
 safer, count=1
 safe, count=2
 sadness, count=3
 sadly, count=2
 saddened, count=1
 sad, count=2
 sacrificed, count=2
 sacrifice, count=3
 s, count=348
 ruthlessly, count=1
 ruth, count=10
 rusty, count=1
 rushing, count=4
 rushed, count=7
 rush, count=1
 running, count=8
 runaway, count=1
 run, count=15
 rumpling, count=1
 rumor, count=2
 rules, count=2
 rulers, count=1
 ruled, count=1
 rule, count=1
 ruined, count=1
 rugs, count=2
 rugged, count=1
 rug, count=2
 ruffled, count=1
 rudimentary, count=1
 ruddy, count=1
 rubbish, count=2
 rubbing, count=2
 rubber, count=2
 rubbed, count=2
 rub, count=1
 royalty, count=3
 royalties, count=2
 rows, count=3
 rowed, count=1
 rout, count=1
 rounding, count=1
 rounded, count=1
 round, count=22
 roughing, count=1
 rough, count=5
 rotting, count=1
 rotten, count=1
 rotated, count=1
 roseate, count=1
 rose, count=7
 rope, count=1
 roots, count=2
 root, count=2
 rooms, count=8
 room, count=45
 roofs, count=1
 roof, count=6
 rolls, count=2
 rolling, count=2
 rolled, count=8
 roll, count=3
 rods, count=1
 rode, count=1
 rod, count=2
 rocks, count=4
 rocking, count=3
 rocker, count=1
 robustness, count=1
 robert, count=1
 roaring, count=2
 roar, count=2
 roam, count=1
 road, count=1
 riverside, count=1
 river, count=62
 rivalry, count=2
 rite, count=1
 risks, count=1
 risking, count=1
 risk, count=2
 rising, count=3
 risen, count=5
 ripples, count=1
 ripple, count=2
 riot, count=1
 ringing, count=2
 ring, count=3
 rigidly, count=1
 rights, count=1
 right, count=44
 rigging, count=1
 rigged, count=2
 rig, count=3
 rife, count=1
